,user_id,book_id
ws2ueHsBJbzFcSZZE_Ol,1,3MxjeHsBJbzFcSZZ_3gr
w82ueHsBJbzFcSZZE_Ol,1,wMljeHsBJbzFcSZZKtmi
xM2ueHsBJbzFcSZZE_Ol,1,HsljeHsBJbzFcSZZIqdn
xc2ueHsBJbzFcSZZE_Ol,1,PsljeHsBJbzFcSZZIqdn
xs2ueHsBJbzFcSZZE_Ol,1,fcljeHsBJbzFcSZZGnnt
x82ueHsBJbzFcSZZE_Ol,1,lcljeHsBJbzFcSZZIZ4V
yM2ueHsBJbzFcSZZE_Ol,1,fsljeHsBJbzFcSZZGnnt
yc2ueHsBJbzFcSZZE_Ol,1,RsljeHsBJbzFcSZZHIOf
ys2ueHsBJbzFcSZZE_Ol,1,ccpjeHsBJbzFcSZZZLNO
y82ueHsBJbzFcSZZE_Ol,1,jMljeHsBJbzFcSZZIqdn
zM2ueHsBJbzFcSZZE_Ol,1,iMtjeHsBJbzFcSZZkCdA
zc2ueHsBJbzFcSZZE_Ol,1,kMljeHsBJbzFcSZZIqdn
zs2ueHsBJbzFcSZZE_Ol,1,kcljeHsBJbzFcSZZIqdn
z82ueHsBJbzFcSZZE_Ol,1,ksljeHsBJbzFcSZZIqdn
0M2ueHsBJbzFcSZZE_Ol,1,f8ljeHsBJbzFcSZZGnnt
0c2ueHsBJbzFcSZZE_Ol,1,k8ljeHsBJbzFcSZZIqdn
0s2ueHsBJbzFcSZZE_Ol,1,P8pjeHsBJbzFcSZZMABb
082ueHsBJbzFcSZZE_Ol,1,gcpjeHsBJbzFcSZZOTZ0
1M2ueHsBJbzFcSZZE_Ol,1,r8tjeHsBJbzFcSZZjx8M
1c2ueHsBJbzFcSZZE_Ol,1,gcljeHsBJbzFcSZZGnnt
1s2ueHsBJbzFcSZZE_Ol,1,nMljeHsBJbzFcSZZIqdn
182ueHsBJbzFcSZZE_Ol,1,ncljeHsBJbzFcSZZIqdn
2M2ueHsBJbzFcSZZE_Ol,1,nsljeHsBJbzFcSZZIqdn
2c2ueHsBJbzFcSZZE_Ol,1,a8pjeHsBJbzFcSZZUEyk
2s2ueHsBJbzFcSZZE_Ol,1,WcljeHsBJbzFcSZZGW0S
282ueHsBJbzFcSZZE_Ol,1,o8pjeHsBJbzFcSZZU2L8
3M2ueHsBJbzFcSZZE_Ol,1,DMljeHsBJbzFcSZZGGt7
3c2ueHsBJbzFcSZZE_Ol,1,xMtjeHsBJbzFcSZZeh4s
3s2ueHsBJbzFcSZZE_Ol,1,osljeHsBJbzFcSZZIqdn
382ueHsBJbzFcSZZE_Ol,2,0ctjeHsBJbzFcSZZlkfv
4M2ueHsBJbzFcSZZE_Ol,2,Y8tjeHsBJbzFcSZZlDpj
4c2ueHsBJbzFcSZZE_Ol,2,W8pjeHsBJbzFcSZZYq3I
4s2ueHsBJbzFcSZZE_Ol,2,dMpjeHsBJbzFcSZZNB23
482ueHsBJbzFcSZZE_Ol,2,eMpjeHsBJbzFcSZZNB23
5M2ueHsBJbzFcSZZE_Ol,2,T8pjeHsBJbzFcSZZU2L8
5c2ueHsBJbzFcSZZE_Ol,2,6stjeHsBJbzFcSZZlDtj
5s2ueHsBJbzFcSZZE_Ol,2,Q8ljeHsBJbzFcSZZIaFl
582ueHsBJbzFcSZZE_Ol,2,zspjeHsBJbzFcSZZY61e
6M2ueHsBJbzFcSZZE_Ol,2,GcpjeHsBJbzFcSZZbt-I
6c2ueHsBJbzFcSZZE_Ol,2,h8pjeHsBJbzFcSZZMxaI
6s2ueHsBJbzFcSZZE_Ol,2,GMtjeHsBJbzFcSZZkjZ2
682ueHsBJbzFcSZZE_Ol,2,wcljeHsBJbzFcSZZLOjz
7M2ueHsBJbzFcSZZE_Ol,2,RMljeHsBJbzFcSZZLvEa
7c2ueHsBJbzFcSZZE_Ol,2,FMpjeHsBJbzFcSZZOTYn
7s2ueHsBJbzFcSZZE_Ol,2,n8tjeHsBJbzFcSZZdADR
782ueHsBJbzFcSZZE_Ol,2,0ctjeHsBJbzFcSZZdADR
8M2ueHsBJbzFcSZZE_Ol,2,nMpjeHsBJbzFcSZZWXfH
8c2ueHsBJbzFcSZZE_Ol,2,YspjeHsBJbzFcSZZc_md
8s2ueHsBJbzFcSZZE_Ol,2,SspjeHsBJbzFcSZZY65e
882ueHsBJbzFcSZZE_Ol,2,xspjeHsBJbzFcSZZOC0G
9M2ueHsBJbzFcSZZE_Ol,2,FsljeHsBJbzFcSZZG32n
9c2ueHsBJbzFcSZZE_Ol,2,_spjeHsBJbzFcSZZU1-4
9s2ueHsBJbzFcSZZE_Ol,2,U8ljeHsBJbzFcSZZG32n
982ueHsBJbzFcSZZE_Ol,2,8MpjeHsBJbzFcSZZbdu-
-M2ueHsBJbzFcSZZE_Ol,2,T8pjeHsBJbzFcSZZYaIh
-c2ueHsBJbzFcSZZE_Ol,2,FMtjeHsBJbzFcSZZlUGD
-s2ueHsBJbzFcSZZE_Ol,2,hMpjeHsBJbzFcSZZU15m
-82ueHsBJbzFcSZZE_Ol,2,7ctjeHsBJbzFcSZZkCiV
_M2ueHsBJbzFcSZZE_Ol,2,w8ljeHsBJbzFcSZZG32n
_c2ueHsBJbzFcSZZE_Ol,2,2cpjeHsBJbzFcSZZOTZ0
_s2ueHsBJbzFcSZZE_Ol,2,xcljeHsBJbzFcSZZL_qC
_82ueHsBJbzFcSZZE_Ol,2,38pjeHsBJbzFcSZZXY9W
AM2ueHsBJbzFcSZZE_Sl,2,1spjeHsBJbzFcSZZcOWO
Ac2ueHsBJbzFcSZZE_Sl,2,aMpjeHsBJbzFcSZZX5gn
As2ueHsBJbzFcSZZE_Sl,2,QsljeHsBJbzFcSZZJbme
A82ueHsBJbzFcSZZE_Sl,2,1spjeHsBJbzFcSZZOTQn
BM2ueHsBJbzFcSZZE_Sl,2,HMljeHsBJbzFcSZZJrs_
Bc2ueHsBJbzFcSZZE_Sl,2,JsljeHsBJbzFcSZZLeyA
Bs2ueHsBJbzFcSZZE_Sl,2,AcljeHsBJbzFcSZZGW4S
B82ueHsBJbzFcSZZE_Sl,2,J8ljeHsBJbzFcSZZLeyA
CM2ueHsBJbzFcSZZE_Sl,2,Q8ljeHsBJbzFcSZZGGkk
Cc2ueHsBJbzFcSZZE_Sl,2,_spjeHsBJbzFcSZZMxM7
Cs2ueHsBJbzFcSZZE_Sl,3,1cljeHsBJbzFcSZZHYct
C82ueHsBJbzFcSZZE_Sl,3,W8pjeHsBJbzFcSZZacox
DM2ueHsBJbzFcSZZE_Sl,3,pcpjeHsBJbzFcSZZYKDH
Dc2ueHsBJbzFcSZZE_Sl,3,LspjeHsBJbzFcSZZVGjO
Ds2ueHsBJbzFcSZZE_Sl,3,IMtjeHsBJbzFcSZZlT4p
D82ueHsBJbzFcSZZE_Sl,3,K8ljeHsBJbzFcSZZIqdn
EM2ueHsBJbzFcSZZE_Sl,3,N8tjeHsBJbzFcSZZr7xz
Ec2ueHsBJbzFcSZZE_Sl,3,LMljeHsBJbzFcSZZIqdn
Es2ueHsBJbzFcSZZE_Sl,3,NMpjeHsBJbzFcSZZMABb
E82ueHsBJbzFcSZZE_Sl,3,LcljeHsBJbzFcSZZIqdn
FM2ueHsBJbzFcSZZE_Sl,3,7MpjeHsBJbzFcSZZX5zM
Fc2ueHsBJbzFcSZZE_Sl,3,bctjeHsBJbzFcSZZdADR
Fs2ueHsBJbzFcSZZE_Sl,3,NMpjeHsBJbzFcSZZVGjO
F82ueHsBJbzFcSZZE_Sl,3,LsljeHsBJbzFcSZZIqdn
GM2ueHsBJbzFcSZZE_Sl,3,PcpjeHsBJbzFcSZZc_md
Gc2ueHsBJbzFcSZZE_Sl,3,BctjeHsBJbzFcSZZkS-U
Gs2ueHsBJbzFcSZZE_Sl,3,HspjeHsBJbzFcSZZbt-I
G82ueHsBJbzFcSZZE_Sl,3,DMpjeHsBJbzFcSZZUE2k
HM2ueHsBJbzFcSZZE_Sl,3,nMtjeHsBJbzFcSZZmE4A
Hc2ueHsBJbzFcSZZE_Sl,3,L8tjeHsBJbzFcSZZeBJU
Hs2ueHsBJbzFcSZZE_Sl,3,bstjeHsBJbzFcSZZdADR
H82ueHsBJbzFcSZZE_Sl,3,acljeHsBJbzFcSZZIqjF
IM2ueHsBJbzFcSZZE_Sl,3,OstjeHsBJbzFcSZZmVUr
Ic2ueHsBJbzFcSZZE_Sl,3,U8pjeHsBJbzFcSZZNR8f
Is2ueHsBJbzFcSZZE_Sl,3,asljeHsBJbzFcSZZIqjF
I82ueHsBJbzFcSZZE_Sl,3,i8tjeHsBJbzFcSZZdADR
JM2ueHsBJbzFcSZZE_Sl,3,28ljeHsBJbzFcSZZLOIF
Jc2ueHsBJbzFcSZZE_Sl,3,jMljeHsBJbzFcSZZL_g4
