book_name,book_author,book_description,book_genre,book_points
Beet-Sugar Handbook, Asadi Mosen (EN),"The first all-in-one reference for the beet-sugar industry Beet-Sugar Handbook is a practical and concise reference for technologists, chemists, farmers, and research personnel involved with the beet-sugar industry. It covers: * Basics of beet-sugar technology * Sugarbeet farming * Sugarbeet processing * Laboratory methods of analysis The book also includes technologies that improve the operation and profitability of the beet-sugar factories, such as: * Juice-softening process * Molasses-softening process * Molasses-desugaring process * Refining cane-raw sugar in a beet-sugar factory The book ends with a review of the following: * Environmental concerns of a beet-sugar factory * Basics of science related to sugar technology * Related tables for use in calculations Written in a conversational, engaging style, the book is user friendly and practical in its presentation of relevant scientific and mathematical concepts for readers without a significant background in these areas. For ease of use, the book highlights important notes, defines technical terms, and presents units in both metric and British systems. Operating problem-solving related to all stations of sugarbeet processing, frequent practical examples, and given material/energy balances are other special features of this book.", Иностранная литература,0
Static Headspace-Gas Chromatography, Kolb Bruno (EN),"The only reference to provide both current and thorough coverage of this important analytical technique Static headspace-gas chromatography (HS-GC) is an indispensable technique for analyzing volatile organic compounds, enabling the analyst to assay a variety of sample matrices while avoiding the costly and time-consuming preparation involved with traditional GC. Static Headspace-Gas Chromatography: Theory and Practice has long been the only reference to provide in-depth coverage of this method of analysis. The Second Edition has been thoroughly updated to reflect the most recent developments and practices, and also includes coverage of solid-phase microextraction (SPME) and the purge-and-trap technique. Chapters cover: * Principles of static and dynamic headspace analysis, including the evolution of HS-GC methods and regulatory methods using static HS-GC * Basic theory of headspace analysis-physicochemical relationships, sensitivity, and the principles of multiple headspace extraction * HS-GC techniques-vials, cleaning, caps, sample volume, enrichment, and cryogenic techniques * Sample handling * Cryogenic HS-GC * Method development in HS-GC * Nonequilibrium static headspace analysis * Determination of physicochemical functions such as vapor pressures, activity coefficients, and more Comprehensive and focused, Static Headspace-Gas Chromatography, Second Edition provides an excellent resource to help the reader achieve optimal chromatographic results. Practical examples with original data help readers to master determinations in a wide variety of areas, such as forensic, environmental, pharmaceutical, and industrial applications.", Иностранная литература,0
Maverick Real Estate Financing, Bergsman Steve (EN),"Praise for MAVERICK REAL ESTATE FINANCING &quoteOnce you start reading, you won't be able to put the book down. You will feel you are part of the deals that industry leaders have put together. This is a real book about real people and how they address risk and reward.&quote --Bruce S. Schonbraun, Managing Partner The Schonbraun McCann Group LLP &quoteBergsman applies a journalist's logic to the complex world of commercial real estate, making it easier for outsiders to understand. He writes with the authority of a true insider.&quote --Brannon Boswell, Managing Editor Shopping Centers Today &quoteCongratulations. Finally, someone has written a book that reflects real estate finance in the twenty-first century. With the growing proliferation of real estate education in university business schools today, this book should be required reading!&quote --James D. Kuhn, President Newmark Knight Frank In Maverick Real Estate Financing, Steve Bergsman--author of the widely acclaimed Maverick Real Estate Investing--describes the various financing methods you can use to achieve real estate investment success. Maverick Real Estate Financing also introduces you to an innovative group of real estate professionals who have used these methods to build substantial fortunes. By listening to some of the world's most successful real estate Mavericks--includingWilliam Sanders, W. P. Carey, and Stephen Ross--you'll discover what sets them apart from the rest of the pack and learn how to apply their proven principles to your own real estate deals. Each chapter examines a different real estate financing technique and the Maverick who best exemplifies it. Some of the strategies and products discussed include: * Equity financing * Public and private REITs * Agency loans * UPREITs * Commingled capital * Retail site arbitrage * Conduit loans * Sale-leasebacks * Distressed mortgages * Low-income housing tax credits (LIHTCs)", Иностранная литература,0
SAP Foreign Currency Revaluation, Finke Susanne (EN),"&quoteSAP Foreign Currency Revaluation-regulations, its impact, and what it takes to implement it in SAP-is a single handbook that simplifies a complex and daunting task of currency valuation for SAP and other ERP implementers. A must-read!&quote -Kalpesh Khandhadia, SAP Consultant, Linksoft-IT Inc. &quoteFollowing the process presented in this book, we eliminated the hours we spent each month manually reviewing and adjusting our global currency financial statements. Thank you Susanne Finke, for making this complicated topic understandable!&quote -Ron Roberts, Process Lead, Financial Systems, Hollister Inc. &quoteIt's great to see all the foreign currency information captured in one place and spelled out so clearly. Great job!&quote -Nadean L. Moore, SAP FI Consultant, Moore Consulting &quoteThis SAP Foreign Currency Revaluation book . . . covers the necessary SAP tables and transactions for revaluation and provides excellent examples of the SAP entries. A well-written book.&quote -Dave Paz, SAP Consultant, DLP Consulting LLC With essential information on the proper rules and regulations needed to comply with FAS 52, SAP Foreign Currency Revaluation: FAS 52 and GAAP Requirements is a valuable reference for controllers, CFOs, IT and accounting managers, and SAP consultants who are involved in FAS 52 compliance projects, regardless of whether their companies are using SAP, Oracle, PeopleSoft, or proprietary software. Its detailed coverage of statutory requirements, business execution of currency revaluation in SAP, and SAP configuration walks readers through: * The U.S. accounting statutory requirements, net income, organizational, and financial consolidation impacts * An overview of currency revaluation with discussion of stock transfer and tax implications * FAS 52 requirements for currency exchange rates and translation * Corporate standards for G/L indicators that are impacted by currency revaluation * Three methods available to execute currency revaluation and their differences * One of the newer ways the SAP R/3 software provides users to execute currency revaluation * The SAP configuration to implement currency revaluation * Setting up custom variants to view the critical fields used in the currency revaluation", Иностранная литература,0
Driving Excellence, Jones Mike J. (EN),"Praise for DRIVING EXCELLENCE &quoteA well-organized compendium of immense common sense. [The authors'] values-based, walk-the-talk approach recognizes the fast-changing environment we live in. It shows the importance of aggregating and integrating knowledge and experience on a continuing basis. Finally, it demonstrates the significance of creating a culture that reinforces those values and takes pride in thriving on the complexity.&quote John E. Abele, founder and Director, Boston Scientific Corporation &quoteThe Aggregate System is a powerful blend of strategic formula, exceptional culture, and human systems combined into a complete self-perpetuating system to produce exceptional performance. Anyone interested in improving the performance of his or her company should read this book.&quote Jerry Colangelo, CEO and Chairman, Phoenix Suns &quoteThis is not another 'silver bullet' piece of academic advice on how to do a quick fix to some imaginary business. Driving Excellence is a serious and detailed insight into how a real CEO, Steve Sanghi, has transformed a real company, Microchip, into a world-class enterprise. Anyone interested in understanding the realities of implementing and sustaining an enterprise-wide constant improvement plan should read this book.&quote Dean Kamen, founder and President, DEKA Research & Development Corporation, inventor of the Segway HT, National Inventors Hall of Fame inductee &quoteDriving Excellence is the first book to deal with the integration of all the core elements that are essential to running a business. It should be required reading for all executives and venture firms looking to boost return on invested capital and add some consistency to their growth. High praise is due to Michael Jones and Steve Sanghi for developing a blueprint that works in the real world.&quote Ed Sperling, Editor in Chief, Electronic News &quoteThis book provides a nicely developed framework to understand organizational effectiveness and performance, drawing upon Sanghi's managerial skills, perfected in his significant turnaround performance at Microchip. Importantly, the reader benefits from insight and experience about building an organizational culture productive to performance and competitiveness.&quote Steven Stralser, PhD, author of MBA in a Day", Иностранная литература,0
Webster's New World 575+ Italian Verbs, Soave Laura (EN),"Whether you're a businessperson who wants to talk the talk, a future tourist, or a student trying to master Italian, Webster's New World 575+ Italian Verbs is the only verb reference you need. This practical resource lists verbs alphabetically and includes examples demonstrating the meaning and function of the verbs to ensure that you know how to use them correctly!Webster's New World 575+ Italian Verbs is compact yet comprehensive. It's packed with 575 &quoteeveryday&quote verbs, additional verbs to expand your vocabulary, and numerous helpful features:* 575 verbs listed alphabetically by their infinitive and fully conjugated in easy-to-read charts* Sample Italian sentences demonstrating the proper usage of each verb, translated into English* A Verb Usage Review that covers the Italian verb system, its regular and irregular conjugations, and the usages of the seven Italian moods and their simple and compound tenses* Four appendices with 1,500 cross-referenced Italian verbs, an irregular verbs index, a verb-preposition list, and an English-Italian verbs index", Иностранная литература,0
Firefox For Dummies, Ross Blake (EN),"Firefox For Dummies gives you the inside scoop on the exciting new browser from the Web wizard that got it started. The book's author, Blake Ross, began developing Firefox as a teenager. Once available to the world, the simple and powerful tool was an instant hit claiming a sizable share of the Web browser market with over 140 million downloads. In this book Blake not only gives you the lowdown on how to use Firefox for safe Web searching, but he also shares his insight into how the product came to life. It's a combination of practical tech insight and a good story that is rare in computer books. Topics covered include downloading and installing Firefox, creating a home page, searching with Google, creating customized themes and toolbars, using tabbed browsing, downloading and saving files, maintaining security and privacy, eliminating annoying popups, and adding Firefox extensions.", Иностранная литература,0
Linux All-in-One Desk Reference For Dummies, Barkakati Naba (EN),"Eight minibooks spanning over 850 pages deliver the scoop on the latest versions of seven leading Linux distributions: Fedora Core, SUSE, Debian, Xandros, SimplyMEPIS, Knoppix, and Ubuntu The DVD includes the full Fedora Core and Knoppix distributions plus ISO images of the other distributions covered, saving hours of downloading time This new edition includes all-new coverage of the SimplyMEPIS and Ubuntdistributions, an added section on the Skype Internet telephone system, and expanded coverage of Firefox, SELinux, and OpenOffice.org applications The eight minibooks cover Linux basics, desktops, networking, the Internet, administration, security, Internet servers, and programming The Linux share of the operating system market is expected to grow from three to 11 percent in the next four years Note: CD-ROM/DVD and other supplementary materials are not included as part of eBook file.", Иностранная литература,0
Code Design for Dependable Systems, Fujiwara Eiji (EN),"Theoretical and practical tools to master matrix code design strategy and technique Error correcting and detecting codes are essential to improving system reliability and have popularly been applied to computer systems and communication systems. Coding theory has been studied mainly using the code generator polynomials; hence, the codes are sometimes called polynomial codes. On the other hand, the codes designed by parity check matrices are referred to in this book as matrix codes. This timely book focuses on the design theory for matrix codes and their practical applications for the improvement of system reliability. As the author effectively demonstrates, matrix codes are far more flexible than polynomial codes, as they are capable of expressing various types of code functions. In contrast to other coding theory publications, this one does not burden its readers with unnecessary polynomial algebra, but rather focuses on the essentials needed to understand and take full advantage of matrix code constructions and designs. Readers are presented with a full array of theoretical and practical tools to master the fine points of matrix code design strategy and technique: * Code designs are presented in relation to practical applications, such as high-speed semiconductor memories, mass memories of disks and tapes, logic circuits and systems, data entry systems, and distributed storage systems * New classes of matrix codes, such as error locating codes, spotty byte error control codes, and unequal error control codes, are introduced along with their applications * A new parallel decoding algorithm of the burst error control codes is demonstrated In addition to the treatment of matrix codes, the author provides readers with a general overview of the latest developments and advances in the field of code design. Examples, figures, and exercises are fully provided in each chapter to illustrate concepts and engage the reader in designing actual code and solving real problems. The matrix codes presented with practical parameter settings will be very useful for practicing engineers and researchers. References lead to additional material so readers can explore advanced topics in depth. Engineers, researchers, and designers involved in dependable system design and code design research will find the unique focus and perspective of this practical guide and reference helpful in finding solutions to many key industry problems. It also can serve as a coursebook for graduate and advanced undergraduate students.", Иностранная литература,0
Mastering Microsoft SQL Server 2005, Tschanz David W. (EN),"The Comprehensive Resource for SQL Server 2005 Administrators, Consultants, and Developers Whether you're a systems administrator, database application developer, or IT consultant, you'll quickly ratchet up your knowledge of Microsoft SQL Server 2005 with this thorough and comprehensive guide. Light on theory and heavy on practicality, it cuts to the chase with real-world examples of large-scale business applications, an entire chapter on troubleshooting, and crucial information on SQL Server 2005's enhanced connectivity. For new users of Microsoft SQL Server, this book takes you quickly, but systematically, through the introductory topics. Coverage Includes Integrating SQL Server with .NET Framework Understanding Service Broker, a distributed application framework Programming with ADO.NET, the data-access component of .NET Setting up Notification Services, which delivers personalized information to mobile devices Using SQL Server Management Studio instead of Enterprise Manager Designing made easier with new Business Intelligence Development Studio (BIDS) Printing multi-page reports Mastering Transact-SQL programming language Leverage the Experience of Large-Scale Enterprises through Real-World Examples Increase Your Own Productivity with an Entire Chapter on Troubleshooting Discover What SQL Server 2005's Increased Emphasis on Connectivity Means to Your Installation Start Developing Apps--All the Information You Need! www.sybex.com", Иностранная литература,0
